"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6mregSY2XkzpmCEAZ908Zo","MAST MAGAN lo-fi","spotify:artist:5FC1kfyWQSWjCoBkn9XNnI, spotify:artist:6sJp8zFW2HuVhVVECOEhO3","Aadesh Goud, Aabhas Srivastava","spotify:album:7BMoQShPyRMNYmkFpLzwO4","MAST MAGAN lo-fi","spotify:artist:5FC1kfyWQSWjCoBkn9XNnI","Aadesh Goud","2021-04-21","https://i.scdn.co/image/ab67616d0000b2734e1f8cd4a98aa9fcda524f39","1","1","113142","","false","0","QZHN42100258","","2021-07-22T08:11:35Z"
"spotify:track:2eQ4mmXyNv4RiIO6yhv2bZ","Us","spotify:artist:54L9nZTOGpaC57ps1xhxEA","Chedr","spotify:album:04nfMPF1kU8zCjX8UH8pZO","Us","spotify:artist:54L9nZTOGpaC57ps1xhxEA","Chedr","2019-04-06","https://i.scdn.co/image/ab67616d0000b2734a25d233ce7875016a1d1952","1","1","267191","https://p.scdn.co/mp3-preview/72bbe8a649154d5b17ff5a49d1ddf3f101847067?cid=9950ac751e34487dbbe027c4fd7f8e99","true","5","QZDA61998803","","2021-07-20T09:57:20Z"
"spotify:track:3dYD57lRAUcMHufyqn9GcI","Take Me To Church","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:0Uv83rRhY5QvHKkQoULRKk","Hozier","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-07-20","https://i.scdn.co/image/ab67616d0000b2737a9bf5f82e32d33d4503fe7b","1","1","241688","","false","85","IEACJ1300031","","2021-07-16T00:04:10Z"
"spotify:track:2JzZzZUQj3Qff7wapcbKjc","See You Again (feat. Charlie Puth)","spotify:artist:137W8MRPWKqSmrBGDBFSop, spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Wiz Khalifa, Charlie Puth","spotify:album:5FXIqS1XqbpfOKNoi5VUwS","See You Again (feat. Charlie Puth)","spotify:artist:137W8MRPWKqSmrBGDBFSop, spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Wiz Khalifa, Charlie Puth","2015","https://i.scdn.co/image/ab67616d0000b2734e5df11b17b2727da2b718d8","1","1","229525","https://p.scdn.co/mp3-preview/69c2ac6f1501e5c8bc6970273da5d06fb97a2e76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USAT21703595","","2021-07-09T13:52:38Z"
"spotify:track:67BtfxlNbhBmCDR2L2l8qd","MONTERO (Call Me By Your Name)","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","spotify:album:2Hjcfw8zHN4dJDZJGOzLd6","MONTERO (Call Me By Your Name)","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","2021-03-31","https://i.scdn.co/image/ab67616d0000b273664034dd80e91b28f773598d","1","1","137875","https://p.scdn.co/mp3-preview/f653a289186d0de9a7685e2958ed5d86e073f3c0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USSM12100531","","2021-07-09T07:01:16Z"
"spotify:track:4BxzNZpcm1j3JczZzGNe2k","Bandoleros","spotify:artist:33ScadVnbm2X8kkUqOkC6Z, spotify:artist:3SUT1jjM5hzZj9TLfLZGIP","Don Omar, Tego Calderón","spotify:album:4SJhZBuuLYlwUJGxWf8Pj0","The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2006-06-20","https://i.scdn.co/image/ab67616d0000b2738b660b58d947c1d666d635c0","1","10","305280","","false","74","US96R0500002","","2021-07-09T06:41:36Z"
"spotify:track:6ZBlzRKbfOex0VcxuuMWJm","Ella Quiere Hmm... Haa... Hmm - Tik Tok Remix","spotify:artist:1dXyyDButMVteLKOOVqz6Z, spotify:artist:08zB6t7lbU5JmuwkAAsWb4","Eduardo Luzquiños, Deskom","spotify:album:7zIMmSeesHeNsSEdJAPVSQ","Ella Quiere Hmm... Haa... Hmm (Tik Tok Remix)","spotify:artist:1dXyyDButMVteLKOOVqz6Z, spotify:artist:08zB6t7lbU5JmuwkAAsWb4","Eduardo Luzquiños, Deskom","2020-09-09","https://i.scdn.co/image/ab67616d0000b273c471180da1131d8afa9ffdb9","1","1","234725","https://p.scdn.co/mp3-preview/c3160046f64393b02e4e43205780fd8c9b0b4ad9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","ART0G2002311","","2021-07-07T04:20:06Z"
"spotify:track:285HeuLxsngjFn4GGegGNm","Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:4D75GcNG95ebPtNvoNVXhz, spotify:artist:64M6ah0SkkRsnPGtGiRAbb, spotify:artist:0hCNtLu0JehylgoiP8L4Gh","David Guetta, AFROJACK, Bebe Rexha, Nicki Minaj","spotify:album:77UW17CZFyCaRLHdHeofZu","Listen","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","David Guetta","2014-11-21","https://i.scdn.co/image/ab67616d0000b2733862d62a50dc6b928651bdeb","1","10","192560","https://p.scdn.co/mp3-preview/bfdf41e3d62f4be205ae8438a6bf6048909dae9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GB28K1400058","","2021-07-01T20:41:53Z"
"spotify:track:6T3sH1EuBMijU1MHe2WFJt","in heat.","spotify:artist:7J67YP5oiObsKJkC7mrRWW","Hentai Xander","spotify:album:0K4n11MU36fn5LewWZSOQ7","in heat.","spotify:artist:7J67YP5oiObsKJkC7mrRWW","Hentai Xander","2021-01-29","https://i.scdn.co/image/ab67616d0000b2731e0498f059459b1b0a962abb","1","1","116376","https://p.scdn.co/mp3-preview/29da747af062e69129e717d90bcf910c172e15ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","QZMHL2043252","","2021-06-30T22:35:22Z"
"spotify:track:0Zkn55h4ck1daSzHWAVFEM","idfc - Acoustic Remake;Slowed","spotify:artist:5c8aF9n0VShXlTQbCeSxvz","DJ Espinos","spotify:album:6NVhZyeElqutw86Lb3aEpq","idfc (Acoustic Remake;Slowed)","spotify:artist:5c8aF9n0VShXlTQbCeSxvz","DJ Espinos","2021-05-25","https://i.scdn.co/image/ab67616d0000b2737c125e20e90e020e074eac13","1","1","131838","","false","0","QZHN92113447","","2021-06-25T05:57:44Z"
"spotify:track:3Wrjm47oTz2sjIgck11l5e","Beggin'","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","spotify:album:2qJw6w5XwQO0PQlSWPu7Tw","Chosen","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","2017-12-08","https://i.scdn.co/image/ab67616d0000b273fa0ab3a28b5c52d8a5f97045","1","4","211560","https://p.scdn.co/mp3-preview/39cd7cd4317a9e4c4fa1277a51eeadb2e300c7de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","ITB001700846","","2021-06-25T05:27:53Z"
"spotify:track:2pUpNOgJBIBCcjyQZQ00qU","Let Her Go","spotify:artist:0gadJ2b9A4SKsB1RFkBb66","Passenger","spotify:album:5te4yFMdnzpJ1s6fa5TIZG","All the Little Lights (Deluxe)","spotify:artist:0gadJ2b9A4SKsB1RFkBb66","Passenger","2013-11-29","https://i.scdn.co/image/ab67616d0000b273eb0b18cce8b7f5c9fc1579e7","1","2","252733","https://p.scdn.co/mp3-preview/ed32d83917c76cb50a912a330c0bb9fd531d2d3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBMQN1100004","","2021-06-23T17:51:01Z"
"spotify:track:0EH7sgeiFqDa3eS7ieW2zs","Chammak Challo","spotify:artist:0z4gvV4rjIZ9wHck67ucSV, spotify:artist:35jsUTwBj5cW9GuNB7Xp61","Akon, Hamsika Iyer","spotify:album:5x2eTJrbEvmOTEcWWWubLy","Ra-One","spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb","Vishal-Shekhar","2011-09-16","https://i.scdn.co/image/ab67616d0000b27344aa56e23e3a89802e6c6347","1","1","227091","https://p.scdn.co/mp3-preview/c5365b3beb05c0187c83d3948d203c61d0b8d90d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","INS181103370","","2021-06-15T12:09:58Z"
"spotify:track:3MnAsEBBsEj86d03RgO4EM","Fairytale","spotify:artist:3LLNDXrxL4uxXtnUJS5XWM","Alexander Rybak","spotify:album:6EWWmTEOXI58PL13vNk67S","Fairytale","spotify:artist:3LLNDXrxL4uxXtnUJS5XWM","Alexander Rybak","2009-01-12","https://i.scdn.co/image/ab67616d0000b27349a39e0e4102b862ccee0fb0","1","1","182600","https://p.scdn.co/mp3-preview/f491c681051d9fd5d39329817d197ae67b3e969e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","NO23B0900001","","2021-06-15T06:08:51Z"
